,课程,知识点,相关课程
1,自然灾害,"自然灾害的原因和本质,减轻灾难的后果,灾害的威胁,减小自然灾害影响的方式,灾害发生的科学原理,城市规划,紧急管理,灾难的本质,预防灾难的方式,探讨人类与自然之间的矛盾,自然灾害对全球的影响和它们之间的联系",
2,现代礼仪,"个人形象礼仪,生活礼仪,言谈礼仪,职场礼仪,社交礼仪,餐饮礼仪,涉外礼仪",
3,足球运动与科学,"足球运动简介及历史,足球技术,足球运动的物理规律,足球战术,足球运动的统计学,运动中的体能,生理学,运动损伤与预防,社会意义和人文价值,体育精神,心理学,足球运动的设计",
4,《资治通鉴》导读,"历史,经典人物言行,人文通识,修身,齐家,治国",
5,不朽的艺术：走进大师与经典,"艺术史,美学理论,思想史,文化史,经典艺术作品,中西艺术史",
6,日常思考的科学,"虚假记忆,日常思考,心理学",
7,教＆学微辞典,"课程教学,教育方式,课程设计,教材和阅读",
8,法学高级入门,"法学理论,法律思维,法学理论,宪法,法理,法制史,民商,经济法,行政法,国际法","知识产权法与创新保护,思想道德修养与法律基础"
9,有限元分析及应用,"机械,航空航天,土木,力学,力学方程,数学求解原理,离散结构和连续体的有限元分析实现,,有限元分析,建模技巧,MATLAB,ANSYS","大学物理,线性代数,力学,物理化学,大学物理——电磁学,大学物理——力学与热学,大学物理1 (力学、热学)"
10,慕课问道,"教学设计,视频制作,在线教育趋势",
11,网络技术与应用,"TCP/IP体系结构,网络协议,网络设备操作,网络设计,网络安全,服务器配置,计算思维,软件实验平台使用,案例分析与实践,网络技术认证",计算机基础知识
12,线性代数,"行列式概念与计算,矩阵理论,向量空间与线性组合,线性方程组,特征值与矩阵相似性",
13,中国古代礼义文明（上）,"礼乐文明的起源与发展,经典文献与礼制,礼乐文化对中国社会的影响,中华传统礼仪的基本框架,礼仪观念的形成与人文素养的培养,礼仪与现代生活的结合",
14,审美的历程,"人类审美意识的萌芽,奴隶社会的时代精神,封建社会的时代精神,资本主义社会的时代精神,社会主义的时代精神",
15,微纳加工技术,"微纳加工技术,微纳加工概论,低压化学气相沉积,热蒸发,外延生长,电子束蒸发,3D打印,离子扩散,接触式光刻,电子束光刻,MEMS（微机电系统）加工技术,表面形貌分析,薄膜厚度测量,材料成分分析","大学物理,线性代数,力学,大学物理——电磁学,大学物理——力学与热学,大学物理1 (力学、热学),半导体物理"
16,创客培养：趣味力学实验与制作,"力学概念,计算机辅助设计,激光切割技术",
17,大学物理——电磁学,"静电场,稳恒磁场,库仑定律,高斯定理,安培定律,法拉第电磁感应定律,磁场的高斯定理,安培环路定理,麦克斯韦方程组,电磁场理论",高等数学
18,大学物理,"相对论,量子物理,相对论动力学,洛伦兹变换,相对论的时空效应,黑体辐射,光电效应,康普顿效应,德布罗意假说,波函数和薛定谔方程,不确定性原理,量子力学基础",高等数学
19,中国房地产发展之路,"产业链分析,市场表现和投资,市场调控",
20,走进医学,"医学,公共卫生,流行病学,预防医学,遗传学,疾病的发展和治疗,医疗决策,伦理",
21,逻辑学概论,"逻辑学,文化,时代,复合命题推理,命题演算,谓词逻辑,归纳推理,非经典逻辑",
22,西方哲学精神探源,"哲学,宗教,文化,希腊哲学,理性精神,本体论,形上学,古代知识论,方法论,逻辑学,科学精神",
23,工程材料,"工程材料基本理论,工程材料,机械零件",
24,C++语言程序设计基础,"程序设计,数据表示,基本运算,函数,重载,类与对象,数据的共享与保护,数组,指针,字符串,面向对象的程序设计,继承,多态,异常处理,I/O,泛型程序设计",
25,C++语言程序设计进阶,"继承,多态,运算符重载,模板与泛型编程,异常处理,高级数据结构和算法,面向对象设计原则","C++语言程序设计基础,数据结构"
26,互联网大规模数据分析技术,"大数据基础技术,NoSQL数据库,Hadoop生态系统,Apache Spark,数据挖掘,分类算法,聚类算法,关联规则挖掘,回归分析,推荐系统,信息检索,协同过滤,精确率与召回率,ROC曲线与AUC值,互联网数据,数据处理",C++语言程序设计基础
27,控制工程基础,"机电系统建模,机电系统建模,频域分析,系统稳定性,误差分析,控制器",
28,大气污染控制工程,"大气污染概述,大气污染物的传输与扩散,控制策略,污染控制,工程设计,技术管理","大学物理,大学物理——力学与热学,大学物理1 (力学、热学)"
29,核辐射物理及探测学,"核物理基础,核衰变,辐射与物质的相互作用,核数据,辐射探测学","大学物理1 (力学、热学),多元微积分,概率论与数理统计,量子力学（上）,量子力学（下）"
30,应对气候变化的中国视角,"全球气候变化的科学证据和理论基础,碳减排,清洁能源,INDC,能源安全,环境保护,可持续发展",
31,大学物理——力学与热学,"运动学,动力学,牛顿运动定律,质点,刚体,能量与动量,振动与波动,热力学第一定律,热力学第二定律,理想气体状态方程,统计热力学基础","高等数学,多元微积分,线性代数"
32,大学物理——振动、波动与光学,"振动,波动,波动光学","高等数学,多元微积分,线性代数"
33,e时代的大佬师——慕课教师的修炼心法,"规划课程,课程设计",
34,线性系统理论,"线性系统的时间域理论,线性系统的频域理论,矩阵运算,特征值,特征向量","线性代数,自动控制理论"
35,大学物理1 (力学、热学),"力学,牛顿运动定律,动量和角动量,能量和守恒定律,刚体动力学,热力学基本概念,热力学第一定律,热力学第二定律,气体动理论,相变和相平衡","多元微积分,微积分"
36,大学物理2 (电磁学、光学和量子物理),"电磁学,波动光学,量子物理基础","多元微积分,微积分"
37,电工技术,"电路基本理论与分析方法,Spice和Multisim软件,电动机的原理,继电器-接触器控制,可编程控制器","大学物理1 (力学、热学),大学物理2 (电磁学、光学和量子物理)"
38,汽车发动机原理,"物理化学机制,有害物生成机理,高效燃烧技术,减排技术","大学物理1 (力学、热学),大学物理——振动、波动与光学"
39,微积分,"实数理论,函数,数列极限,函数极限,闭区间列紧性,实数完备性,一元函数微分学,连续性,导数与微分,导数的应用,一元函数积分学,不定积分,定积分,定积分的应用,极限理论,微分学,积分学","大学物理1 (力学、热学),多元微积分,微积分"
40,理论力学,"运动学,静力学,动力学,动力学专题,刚体动力学,机械振动基础,分析动力学,质点系动力学","微积分,多元微积分,大学物理1 (力学、热学)"
41,材料学概论,"元素周期表,金属材料,粉体材料,玻璃与陶瓷材料,聚合物材料,磁性材料,薄膜材料",
42,量子力学（上）,"量子力学的基本原理,波粒二象性,测不准原理,一维量子系统,本征值与本征函数,三维量子系统","多元微积分,微积分,线性代数,复变函数,大学物理"
43,大数据平台核心技术,"分布式系统架构,分布式编程,分布式流处理,分布式数据存储管理,内存计算支持","数据结构,计算机系统结构,算法设计基础"
44,汽车碰撞安全基础,"人体碰撞响应与损伤,安全性评价方法,安全带与气囊,碰撞保护装置,碰撞力学,冲击力学,碰撞安全","工科数学,大学物理1 (力学、热学),理论力学,材料力学"
45,传播学原理,"传播学,传播活动,传播关系,传播行为,传播难题,社会学",
46,汽车造型设计二维表达,"汽车设计基础,透视学,光影与材质,绘画技巧,设计实践",
47,葡萄酒的世界：从葡萄到美酒,"葡萄酒感官品鉴,葡萄栽培学,葡萄酒酿造学,可持续性与葡萄酒业",
48,计算机科学和Python编程导论,"计算概念,Python编程语言,算法与数据结构,测试与调试,机器架构,算法复杂性",组合数学，线性代数
49,设计学原理,"设计学,设计系统的一般结构与机制,设计规律与原理",设计学科基础理论
50,燃烧理论,"热化学,传质现象,化学动力学,化学动力学与热力学的融合,反应流的简化守恒方程,火焰的建模与分析处理","大学物理1 (力学、热学),物理化学,流体力学,工程流体力学"
51,设计的人因与文化,"用户体验设计,人因学理论,用户研究,跨文化,人与机器人交互,医疗与人因研究",
52,高级数据库系统,"数据库管理系统（DBMS）基础理论,数据组织与存储技术,数据检索算法,并发控制机制,数据库恢复技术,分布式数据库系统架构,高级数据库系统设计,关系型数据库管理原理","数据结构,数据库原理,高级语言程序设计技术"
53,操作系统,"操作系统基本原理,资源管理策略,进程与线程管理,内存管理,文件系统,I/O,安全与保护机制,并发与同步控制,分布式系统","数据结构,汇编语言,计算机组成原理"
54,水处理工程-生化技术,"生物处理技术,好氧生物,厌氧生物,生物脱氮除磷,天然处理,污泥处理,工艺计算","环境工程监测,水处理微生物学"
