,学生id,选课,
2,Student1,"C语言程序设计,大学生心理健康教育,创业启程,通用学术英语,高等数学,汉语文字词汇,科学运动与健康,运动与健康,电子信息科学与技术导引,中国近现代史纲要纲要,数学建模,电路原理,大学计算机基础与应用,思想道德修养与法律基础,线性代数,工程职业伦理,数理统计及概率论,毛泽东思想和中国特色社会主义理论体系概论,Java程序设计,数据结构,数字集成电路分析与设计,投资银行学,新媒体编创,系统化产品设计与开发,交互设计,Web基础,大学计算机基础与应用,马克思主义基本原理,软件工程,数据库系统原理与开发,操作系统,高级语言程序设计,计算机文化基础,计算机网络,软件理论基础,信息技术与教育应用,PLC应用技术,C++语言程序设计基础,高级数据库系统,电子政务,企业战略管理,软件理论基础,项目管理,设计的人因与文化,知识产权法与创新保护,工程职业伦理,程序设计基础",
3,Student2,"大学生心理健康教育,创业启程,汉语文字词汇,高等数学,动态几何,工程图学,建筑材料,绿色建筑与可持续发展,高技术与现代局部战争,思想道德修养与法律基础,Python 交互式程序设计导论,程序设计基础,创新创新创业基础,大学物理,通用学术英语,Java程序设计,线性代数,中国近现代史纲要,大数据机器学习,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,计算机文化基础,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,PLC应用技术,大数据系统基础,人工智能,软件理论基础,项目管理,实用绳结技术,系统化产品设计与开发,编译技术,工程职业伦理,知识产权法与创新保护,C++语言程序设计基础",
4,Student3,"创业启程,工程制图,高技术与现代局部战争,电工电子技术,工程伦理,工程制图实践,理论力学,材料学概论,高等数学,材料现代研究方法,工程伦理,机械原理,中国近现代史纲要纲要,大学物理,通用学术英语,电工电子技术,界面设计导论,高等数学,工程热力学（上）,工程热力学（下）,机械原理,动态测试与分析（上）,动态测试与分析（下）,Java程序设计,思想道德修养与法律基础,线性代数,创新创新创业基础,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,计算机文化基础,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,汉语文字词汇,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数据挖掘：理论与算法,信息技术与教育应用,大数据系统基础,大学生心理健康教育,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,高等化工热力学（下）,高等化工热力学（上）",
5,Student4,"高级语言程序设计,创业启程,工程制图,高技术与现代局部战争,电工电子技术,工程伦理,工程制图实践,理论力学,材料学概论,程序设计基础,高等数学,材料现代研究方法,机械原理,中国近现代史纲要纲要,大学物理,通用学术英语,电工电子技术,动态测试与分析（上）,动态测试与分析（下）,Java程序设计,思想道德修养与法律基础,线性代数,创新创新创业基础,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,计算机文化基础,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,汉语文字词汇,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数据挖掘：理论与算法,信息技术与教育应用,大数据系统基础,大学生心理健康教育,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,C语言程序设计,C++语言程序设计基础",
6,Student5,"创业启程,通用学术英语,高等数学,计算机文化基础,高技术与现代局部战争,中国近现代史纲要纲要,程序设计基础,创新创新创业基础,大学物理,通用学术英语,汉语文字词汇,高等数学,Java程序设计,思想道德修养与法律基础,线性代数,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,绿色建筑与可持续发展,马克思主义基本原理,数据结构,数字集成电路分析与设计,中华戏曲艺术鉴赏,物理仿真模拟,Web基础,理工学术英语,计算机网络,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,互联网大规模数据分析技术,影视鉴赏,风景园林艺术原理,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数据挖掘：理论与算法,信息技术与教育应用,数学建模,工程职业伦理,电子政务,软件理论基础,项目管理,测试系统集成技术,大学生心理健康教育,工程职业伦理,知识产权法与创新保护,C++语言程序设计基础",
7,Student6,"程序设计基础,C语言程序设计,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,Python 交互式程序设计导论,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,工程职业伦理,数理统计及概率论,理工学术英语,马克思主义基本原理,意在象中——中国古典诗词鉴赏,数据结构,数字集成电路分析与设计,Web基础,计算机网络,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,影视鉴赏,操作系统,高级语言程序设计,计算机网络,软件理论基础,数据结构,高级大数据系统,数据挖掘：理论与算法,投资银行学,大数据系统基础,工程职业伦理,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,C++语言程序设计基础",
8,Student7,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,网络安全概述,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,中国电影经典影片鉴赏,大数据与城市规划,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,小白学人工智能,软件工程,交互设计,数据库系统原理与开发,操作系统,高级语言程序设计,计算机网络,汽车理论,软件理论基础,高级大数据系统,数学建模,工程职业伦理,计算机操作系统,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护",
9,Student8,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,网络安全概述,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,中国电影经典影片鉴赏,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,理工学术英语,电工技术,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,中国民俗文化赏析,软件工程,交互设计,数据库系统原理与开发,巴蜀文化,操作系统,生活英语进阶,高级语言程序设计,计算机网络,汽车理论,软件理论基础,高级大数据系统,数据挖掘：理论与算法,大数据系统基础,工程职业伦理,电子政务,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,日语与日本文化",
10,Student9,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,系统化产品设计与开发,线性代数,走近中华优秀传统文化,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,金融工程,马克思主义基本原理,民族科学运动与健康运动与健康管理,数据结构,数字集成电路分析与设计,Java程序设计,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,操作系统,高级语言程序设计,计算机网络,道路工程材料,软件理论基础,高级大数据系统,中级管理会计,信息技术与教育应用,大数据机器学习,工程职业伦理,互联网金融,人工智能,软件理论基础,项目管理,测试系统集成技术,逻辑思维与写作,知识产权法与创新保护",
11,Student10,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,网络安全概述,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,山水画技法,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,巴蜀文化,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数据挖掘：理论与算法,大数据系统基础,工程职业伦理,电子政务,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,C++语言程序设计基础",
12,Student11,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,大学物理,C++语言程序设计进阶,高技术与现代局部战争,Java程序设计,如何写好科研论文,思想道德修养与法律基础,线性代数,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,营养与健康,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,意在象中——中国古典诗词鉴赏,数据库系统原理与开发,操作系统,高级语言程序设计,计算机网络,不朽的艺术：走进大师与经典,软件理论基础,高级大数据系统,数据挖掘：理论与算法,信息技术与教育应用,工程职业伦理,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,C++语言程序设计基础",
13,Student12,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,女性修与养：女性运动、营养与健康,大学物理,C++语言程序设计进阶,高技术与现代局部战争,如何写好科研论文,Java程序设计,思想道德修养与法律基础,线性代数,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,营养与健康,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,谈医说药,操作系统,高级语言程序设计,计算机网络,美术鉴赏鉴赏,软件理论基础,设计的人因与文化,高级大数据系统,数学建模,工程职业伦理,电子政务,人工智能,软件理论基础,项目管理,测试系统集成技术,知识产权法与创新保护,C++语言程序设计基础",
14,Student13,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,生活英语读写,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,金融工程,马克思主义基本原理,数据结构,数字集成电路分析与设计,Python 交互式程序设计导论,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,操作系统,学在南哲：哲学与哲人,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,信息技术与教育应用,大数据系统基础,工程职业伦理,人工智能,软件理论基础,项目管理,测试系统集成技术,知识产权法与创新保护,C++语言程序设计基础,电子信息科学与技术导引",
