,学生id,大一至大二课程
2,Student1,"C语言程序设计,大学生心理健康教育,创业启程,通用学术英语,高等数学,汉语文字词汇,科学运动与健康,运动与健康,电子信息科学与技术导引,中国近现代史纲要纲要,数学建模,电路原理,大学计算机基础与应用,思想道德修养与法律基础,线性代数,工程职业伦理,数理统计及概率论,毛泽东思想和中国特色社会主义理论体系概论,Java程序设计,数据结构,数字集成电路分析与设计,投资银行学,新媒体编创,系统化产品设计与开发,交互设计,Web基础,大学计算机基础与应用,马克思主义基本原理,软件工程,数据库系统原理与开发"
3,Student2,"大学生心理健康教育,创业启程,汉语文字词汇,高等数学,动态几何,工程图学,建筑材料,绿色建筑与可持续发展,高技术与现代局部战争,思想道德修养与法律基础,Python 交互式程序设计导论,程序设计基础,创新创新创业基础,大学物理,通用学术英语,Java程序设计,线性代数,中国近现代史纲要,大数据机器学习,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,计算机文化基础,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发"
4,Student3,"创业启程,工程制图,高技术与现代局部战争,电工电子技术,工程伦理,工程制图实践,理论力学,材料学概论,高等数学,材料现代研究方法,工程伦理,机械原理,中国近现代史纲要纲要,大学物理,通用学术英语,电工电子技术,界面设计导论,高等数学,工程热力学（上）,工程热力学（下）,机械原理,动态测试与分析（上）,动态测试与分析（下）,Java程序设计,思想道德修养与法律基础,线性代数"
5,Student4,"高级语言程序设计,创业启程,工程制图,高技术与现代局部战争,电工电子技术,工程伦理,工程制图实践,理论力学,材料学概论,程序设计基础,高等数学,材料现代研究方法,机械原理,中国近现代史纲要纲要,大学物理,通用学术英语,电工电子技术,动态测试与分析（上）,动态测试与分析（下）,Java程序设计,思想道德修养与法律基础,线性代数"
6,Student5,"创业启程,通用学术英语,高等数学,计算机文化基础,高技术与现代局部战争,中国近现代史纲要纲要,程序设计基础,创新创新创业基础,大学物理,通用学术英语,汉语文字词汇,高等数学,Java程序设计,思想道德修养与法律基础,线性代数,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,绿色建筑与可持续发展,马克思主义基本原理,数据结构,数字集成电路分析与设计,中华戏曲艺术鉴赏,物理仿真模拟,Web基础,理工学术英语,计算机网络,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,互联网大规模数据分析技术,影视鉴赏,风景园林艺术原理"
7,Student6,"程序设计基础,C语言程序设计,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,Python 交互式程序设计导论,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,工程职业伦理,数理统计及概率论,理工学术英语,马克思主义基本原理,意在象中——中国古典诗词鉴赏,数据结构,数字集成电路分析与设计,Web基础,计算机网络,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,影视鉴赏"
8,Student7,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,网络安全概述,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,中国电影经典影片鉴赏,大数据与城市规划,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,小白学人工智能,软件工程,交互设计,数据库系统原理与开发"
9,Student8,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,网络安全概述,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,中国电影经典影片鉴赏,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,理工学术英语,电工技术,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,中国民俗文化赏析,软件工程,交互设计,数据库系统原理与开发,巴蜀文化"
10,Student9,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,系统化产品设计与开发,线性代数,走近中华优秀传统文化,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,金融工程,马克思主义基本原理,民族科学运动与健康运动与健康管理,数据结构,数字集成电路分析与设计,Java程序设计,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发"
11,Student10,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,网络安全概述,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,山水画技法,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,巴蜀文化"
12,Student11,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,大学物理,C++语言程序设计进阶,高技术与现代局部战争,Java程序设计,如何写好科研论文,思想道德修养与法律基础,线性代数,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,营养与健康,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,意在象中——中国古典诗词鉴赏,数据库系统原理与开发"
13,Student12,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,女性修与养：女性运动、营养与健康,大学物理,C++语言程序设计进阶,高技术与现代局部战争,如何写好科研论文,Java程序设计,思想道德修养与法律基础,线性代数,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,营养与健康,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,谈医说药"
14,Student13,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,生活英语读写,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,金融工程,马克思主义基本原理,数据结构,数字集成电路分析与设计,Python 交互式程序设计导论,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发"
15,Student14,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,中国电影经典影片鉴赏,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,普通化学,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,社会研究方法"
16,Student15,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,Python 交互式程序设计导论,大学物理,光电仪器设计,国防教育——热点问题,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,形势与政,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,金融工程,马克思主义基本原理,数据结构,数字集成电路分析与设计,中国电影经典影片鉴赏,Web基础,学在南哲：哲学与哲人,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,经济地理与企业兴衰,软件工程,交互设计,数据库系统原理与开发"
17,Student16,"程序设计基础,C语言程序设计,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,Python 交互式程序设计导论,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,汇编语言程序设计,线性代数,工程职业伦理,数理统计及概率论,理工学术英语,茶艺,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,大学历史与文化,数据库系统原理与开发,影视鉴赏"
18,Student17,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,大学物理,文物精品与文化中国,光电仪器设计,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,无机化学,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,意在象中——中国古典诗词鉴赏,数据结构,数字集成电路分析与设计,Web基础,理工学术英语,大学计算机基础与应用,妇女健康和权益,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发"
19,Student18,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,大学物理,汉语文字词汇,计算机辅助设计,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,学在南哲：哲学与哲人,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,室内花草栽培技术与装饰布景,花卉鉴赏,软件工程,交互设计,数据库系统原理与开发"
20,Student19,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,Python 交互式程序设计导论,大学物理,计算机辅助设计,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,意在象中——中国古典诗词鉴赏,数据结构,数字集成电路分析与设计,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,管理学,影视鉴赏"
